label,problem,algorithm,mode,variation,dvl_fraction,m,problem_k,max_evaluations,seed,cpu_time_seconds,model_training_time,real_evaluation_time,objective_calls,dvl_evaluations,moea_evaluations,sample_size,estimated_points,population_size_final,hypervolume,status,error_message
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,58,0.5553712120017735,0.4370306570053799,0.006218450856977142,250,125,125,63,62,27,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,58,0.9125931470043724,0.7535694170801435,0.007251190021634102,278,188,90,97,91,91,0.3398140621061661,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,59,0.04397622500255238,0.0,0.006497878042864613,250,0,250,0,0,19,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,59,0.25337536800361704,0.17574942100327462,0.0063295498985098675,250,62,188,31,31,33,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,59,0.5481791519996477,0.430817265965743,0.006178706913487986,250,125,125,63,62,27,0.013038305425116206,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,59,0.9147641800082056,0.7561790709005436,0.0067622809001477435,278,188,90,97,91,91,0.11487958311863308,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,60,0.04508281601010822,0.0,0.006491706881206483,250,0,250,0,0,21,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,60,0.25357465699198656,0.1762312270293478,0.006357964040944353,250,62,188,31,31,25,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,60,0.5277079399966169,0.41295591996458825,0.007251650982652791,250,125,125,63,62,20,0.03572318527023969,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,60,0.8944681409921031,0.739518940958078,0.006726115898345597,278,188,90,97,91,91,0.2908014092327984,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,61,0.045336487994063646,0.0,0.006785914985812269,250,0,250,0,0,17,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,61,0.25496062899765093,0.17594535199168604,0.006539550988236442,250,62,188,31,31,20,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,61,0.5416512029914884,0.42487723105296027,0.006315068851108663,250,125,125,63,62,26,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,61,0.910772810006165,0.7510606169817038,0.006759802025044337,278,188,90,97,91,91,0.33267401024486826,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,42,0.05971158099418972,0.0,0.006551731945364736,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,42,0.2541991830075858,0.17667389907001052,0.006337220955174416,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,42,0.5313415720011108,0.42260474401700776,0.00627817097119987,250,125,125,63,62,1,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,42,0.8997063210117631,0.7506572409911314,0.006209713115822524,250,188,62,97,91,1,0.056811526549970175,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,43,0.063204335005139,0.0,0.006689626898150891,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,43,0.26025736999872606,0.18144304807356093,0.006437302028643899,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,43,0.5242629970016424,0.4174041619990021,0.006277076055994257,250,125,125,63,62,1,0.23552994313416614,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,43,0.8874401329958346,0.739060672960477,0.006196246060426347,250,188,62,97,91,1,0.28346977250371164,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,44,0.06004115600080695,0.0,0.006543559007695876,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,44,0.2553759180009365,0.17558487004134804,0.006587897092686035,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,44,0.5422906869935105,0.43139680511376355,0.006233803927898407,250,125,125,63,62,1,0.1983098664605436,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,44,0.9188849369966192,0.7678727799939224,0.006211431071278639,250,188,62,97,91,1,0.1979000805956086,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,45,0.060378327005309984,0.0,0.006538457964779809,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,45,0.25404245499521494,0.1782996580004692,0.006284421993768774,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,45,0.5394923629937693,0.42934947305184323,0.006274171944824047,250,125,125,63,62,1,0.023562840303168124,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,45,0.9403366410115268,0.7902858220186317,0.0061705650587100536,250,188,62,97,91,1,0.37853102913003295,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,46,0.06418929499341175,0.0,0.006830800819443539,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,46,0.266292230997351,0.1872660980297951,0.006381696090102196,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,46,0.5174090000073193,0.4106356230477104,0.006625795183936134,250,125,125,63,62,1,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,46,0.9217826199892443,0.7689925129816402,0.006397473101969808,250,188,62,97,91,1,0.3413570290136825,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,47,0.061440874997060746,0.0,0.006532360072014853,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,47,0.25584253399574663,0.1803817090112716,0.00637946005736012,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,47,0.5436654389923206,0.43362342602631543,0.006260789989028126,250,125,125,63,62,1,0.11778594044203716,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,47,0.9529890709964093,0.790617506034323,0.006563969989656471,250,188,62,97,91,1,0.32390230208630955,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,48,0.06391989400435705,0.0,0.006866611875011586,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,48,0.2588073950028047,0.17938452698581386,0.006301574074313976,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,48,0.5697795479936758,0.44791522702143993,0.007938477850984782,250,125,125,63,62,1,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,48,0.9656392979959492,0.8026704549993156,0.0064797560044098645,250,188,62,97,91,1,0.3589526166277359,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,49,0.062218160994234495,0.0,0.006730054970830679,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,49,0.2560196099948371,0.17965436601662077,0.00633086878224276,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,49,0.5315436160017271,0.420137284003431,0.006493797875009477,250,125,125,63,62,1,0.09379083103071026,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,49,0.8997598230052972,0.7502814429899445,0.006191455904627219,250,188,62,97,91,1,0.4225680644429137,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,50,0.06144241899892222,0.0,0.007152636026148684,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,50,0.25099817299633287,0.1736422280082479,0.006390429029124789,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,50,0.5203933880111435,0.41475585298030637,0.006193017936311662,250,125,125,63,62,1,0.015960644071335173,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,50,0.886823793000076,0.737872859055642,0.006473283137893304,250,188,62,97,91,1,0.2513709185092404,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,51,0.060349452003720216,0.0,0.006324513029539958,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,51,0.2512118489976274,0.1742056699586101,0.0062949141138233244,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,51,0.5099793080007657,0.4053266439877916,0.006354170007398352,250,125,125,63,62,1,0.037347100605225,success,
